time,close,open,high,low,volume
2019.02.05 00:01,1.30352,1.3034,1.30368,1.30332,28
2019.02.05 00:02,1.30352,1.30352,1.30352,1.30352,3
2019.02.05 00:03,1.30338,1.30338,1.30338,1.30338,2
2019.02.05 00:04,1.30352,1.30344,1.30352,1.30344,7
2019.02.05 00:05,1.30352,1.30352,1.30352,1.30338,562
2019.02.05 00:06,1.30352,1.30352,1.30352,1.30351,144
2019.02.05 00:07,1.30352,1.30352,1.30352,1.30352,26
2019.02.05 00:08,1.30352,1.30352,1.30352,1.30352,12
2019.02.05 00:09,1.30345,1.30352,1.30352,1.30345,21
2019.02.05 00:10,1.30352,1.30345,1.30408,1.30338,439
2019.02.05 00:11,1.30352,1.30352,1.30384,1.30348,885
2019.02.05 00:12,1.30352,1.30352,1.30352,1.30352,1192
2019.02.05 00:13,1.30364,1.30352,1.30369,1.30337,976
2019.02.05 00:14,1.30372,1.30364,1.30404,1.30364,490
2019.02.05 00:15,1.30343,1.30372,1.30372,1.30343,270
2019.02.05 00:16,1.30313,1.30343,1.30344,1.30313,66
2019.02.05 00:17,1.30315,1.30313,1.30315,1.30313,24
2019.02.05 00:18,1.30313,1.30315,1.30336,1.30313,67
2019.02.05 00:19,1.30315,1.30313,1.30315,1.30313,72
2019.02.05 00:20,1.30315,1.30315,1.30315,1.30313,103
2019.02.05 00:21,1.30313,1.30315,1.30316,1.30313,115
2019.02.05 00:22,1.30315,1.30313,1.30315,1.30313,119
2019.02.05 00:23,1.30313,1.30315,1.30315,1.30313,74
2019.02.05 00:24,1.30354,1.30313,1.30354,1.30313,94
2019.02.05 00:25,1.30343,1.30354,1.30354,1.30339,142
2019.02.05 00:26,1.30328,1.30343,1.30343,1.30328,93
2019.02.05 00:27,1.30362,1.30328,1.30369,1.30324,64
2019.02.05 00:28,1.30361,1.30362,1.30362,1.30361,25
2019.02.05 00:29,1.30348,1.30361,1.30374,1.30325,92
2019.02.05 00:30,1.30309,1.30343,1.30393,1.30309,346
2019.02.05 00:31,1.30309,1.30309,1.30309,1.30309,155
2019.02.05 00:32,1.30313,1.30309,1.30313,1.30309,93
2019.02.05 00:33,1.30321,1.30313,1.30321,1.30313,104
2019.02.05 00:34,1.30358,1.30321,1.30358,1.30321,79
2019.02.05 00:35,1.30355,1.30358,1.30358,1.30354,62
2019.02.05 00:36,1.30355,1.30355,1.30355,1.30355,62
2019.02.05 00:37,1.30367,1.30355,1.30367,1.3034,130
2019.02.05 00:38,1.30367,1.30367,1.30367,1.30367,125
2019.02.05 00:39,1.30367,1.30367,1.30371,1.30367,124
2019.02.05 00:40,1.30367,1.30367,1.30367,1.30367,132
2019.02.05 00:41,1.30363,1.30367,1.30368,1.30362,128
2019.02.05 00:42,1.30359,1.30363,1.30363,1.30359,76
2019.02.05 00:43,1.30361,1.30359,1.30361,1.30357,104
2019.02.05 00:44,1.3036,1.30361,1.30361,1.30358,68
2019.02.05 00:45,1.3036,1.3036,1.30395,1.3036,177
2019.02.05 00:46,1.3036,1.3036,1.30401,1.3036,253
2019.02.05 00:47,1.3036,1.3036,1.30365,1.30356,87
2019.02.05 00:48,1.30402,1.30359,1.30403,1.30358,265
2019.02.05 00:49,1.3035,1.30402,1.30424,1.30336,314
2019.02.05 00:50,1.3038,1.30351,1.3041,1.30328,437
2019.02.05 00:51,1.30401,1.3038,1.30401,1.3038,566
2019.02.05 00:52,1.30409,1.30401,1.30409,1.30401,244
2019.02.05 00:53,1.30409,1.30409,1.30409,1.30409,140
2019.02.05 00:54,1.30365,1.30409,1.30435,1.30352,270
2019.02.05 00:55,1.30359,1.30365,1.30365,1.30352,170
2019.02.05 00:56,1.30399,1.30359,1.30399,1.30359,57
2019.02.05 00:57,1.30399,1.30399,1.30399,1.30399,33
2019.02.05 00:58,1.30363,1.30399,1.30399,1.30363,101
2019.02.05 00:59,1.3036,1.30363,1.30363,1.30355,562
2019.02.05 01:00,1.30364,1.3036,1.30378,1.30352,446
2019.02.05 01:01,1.30355,1.30364,1.30364,1.30351,217
2019.02.05 01:02,1.30358,1.30355,1.30359,1.30354,120
2019.02.05 01:03,1.30358,1.30358,1.30358,1.30352,69
2019.02.05 01:04,1.30372,1.30358,1.30377,1.30358,272
2019.02.05 01:05,1.30371,1.30372,1.30373,1.30368,282
2019.02.05 01:06,1.30371,1.30371,1.30375,1.30362,541
2019.02.05 01:07,1.30373,1.30371,1.30373,1.3037,484
2019.02.05 01:08,1.30371,1.30373,1.30373,1.3037,215
2019.02.05 01:09,1.3037,1.30371,1.30372,1.3037,139
2019.02.05 01:10,1.30372,1.3037,1.30376,1.30367,283
2019.02.05 01:11,1.3037,1.30372,1.30372,1.3037,137
2019.02.05 01:12,1.3037,1.3037,1.30374,1.3037,117
2019.02.05 01:13,1.30371,1.3037,1.30373,1.30368,119
2019.02.05 01:14,1.30373,1.30371,1.30373,1.30368,117
2019.02.05 01:15,1.30373,1.30373,1.30373,1.30373,143
2019.02.05 01:16,1.30371,1.30373,1.30373,1.30369,135
2019.02.05 01:17,1.3037,1.30371,1.30372,1.3037,129
2019.02.05 01:18,1.30371,1.3037,1.30372,1.3037,127
2019.02.05 01:19,1.30373,1.30371,1.30373,1.30371,157
2019.02.05 01:20,1.30363,1.30373,1.30373,1.3036,255
2019.02.05 01:21,1.30361,1.30363,1.30364,1.3036,226
2019.02.05 01:22,1.30359,1.30361,1.30362,1.30359,574
2019.02.05 01:23,1.30359,1.30359,1.30362,1.30359,190
2019.02.05 01:24,1.30359,1.30359,1.30361,1.30358,140
2019.02.05 01:25,1.30359,1.30359,1.3036,1.30358,87
2019.02.05 01:26,1.30357,1.30359,1.30367,1.30356,453
2019.02.05 01:27,1.30358,1.30357,1.3036,1.30356,307
2019.02.05 01:28,1.30365,1.30358,1.30365,1.30357,237
2019.02.05 01:29,1.30359,1.30365,1.30365,1.30358,160
2019.02.05 01:30,1.30364,1.30359,1.30369,1.30358,449
2019.02.05 01:31,1.30363,1.30364,1.30364,1.30361,122
2019.02.05 01:32,1.30363,1.30363,1.30364,1.30361,304
2019.02.05 01:33,1.30362,1.30363,1.30364,1.30361,288
2019.02.05 01:34,1.30363,1.30362,1.30364,1.30361,229
2019.02.05 01:35,1.30357,1.30363,1.30363,1.30354,157
2019.02.05 01:36,1.30353,1.30357,1.30357,1.30353,190
2019.02.05 01:37,1.30353,1.30353,1.30353,1.30352,198
2019.02.05 01:38,1.30351,1.30353,1.30353,1.30349,195
2019.02.05 01:39,1.30349,1.30351,1.30353,1.30349,110
2019.02.05 01:40,1.30341,1.30349,1.30353,1.30341,358
2019.02.05 01:41,1.30332,1.30341,1.30342,1.30331,271
2019.02.05 01:42,1.30334,1.30332,1.30337,1.30328,237
2019.02.05 01:43,1.30344,1.30334,1.30344,1.30334,134
2019.02.05 01:44,1.30344,1.30344,1.30353,1.30343,365
2019.02.05 01:45,1.30343,1.30344,1.30344,1.30339,423
2019.02.05 01:46,1.30346,1.30343,1.30351,1.30341,268
2019.02.05 01:47,1.30352,1.30346,1.30352,1.30344,182
2019.02.05 01:48,1.30351,1.30352,1.30354,1.3035,230
2019.02.05 01:49,1.30342,1.3035,1.30352,1.30342,319
2019.02.05 01:50,1.3033,1.30342,1.30342,1.30329,200
2019.02.05 01:51,1.3033,1.3033,1.30334,1.30327,282
2019.02.05 01:52,1.30325,1.3033,1.3033,1.30319,174
2019.02.05 01:53,1.30323,1.30325,1.30325,1.30319,52
2019.02.05 01:54,1.30321,1.30323,1.30324,1.30316,206
2019.02.05 01:55,1.30321,1.30321,1.30321,1.30315,134
2019.02.05 01:56,1.30312,1.30322,1.30322,1.30298,621
2019.02.05 01:57,1.30304,1.30312,1.30312,1.303,734
2019.02.05 01:58,1.30271,1.30305,1.30305,1.3026,666
2019.02.05 01:59,1.30262,1.30271,1.30271,1.30258,489
2019.02.05 02:00,1.30294,1.30262,1.30295,1.30261,485
2019.02.05 02:01,1.30312,1.30294,1.30313,1.30286,532
2019.02.05 02:02,1.30316,1.30312,1.30316,1.30309,287
2019.02.05 02:03,1.30311,1.30316,1.30316,1.30311,325
2019.02.05 02:04,1.30314,1.30311,1.30315,1.3031,362
2019.02.05 02:05,1.30313,1.30314,1.30322,1.30303,745
2019.02.05 02:06,1.30334,1.30313,1.30335,1.30313,804
2019.02.05 02:07,1.30332,1.30334,1.30336,1.30331,379
2019.02.05 02:08,1.30323,1.30332,1.30333,1.30323,318
2019.02.05 02:09,1.30322,1.30323,1.30325,1.30319,590
2019.02.05 02:10,1.30336,1.30322,1.30342,1.30322,646
2019.02.05 02:11,1.30335,1.30336,1.30336,1.30332,286
2019.02.05 02:12,1.30332,1.30335,1.30353,1.30328,326
2019.02.05 02:13,1.30339,1.30332,1.3034,1.30332,222
2019.02.05 02:14,1.30338,1.30339,1.30341,1.30336,265
2019.02.05 02:15,1.30335,1.30338,1.30341,1.30335,444
2019.02.05 02:16,1.30342,1.30335,1.30343,1.30332,384
2019.02.05 02:17,1.30352,1.30342,1.30357,1.30342,303
2019.02.05 02:18,1.30355,1.30352,1.30355,1.3035,306
2019.02.05 02:19,1.30355,1.30355,1.30355,1.30353,269
2019.02.05 02:20,1.30349,1.30355,1.30355,1.30347,289
2019.02.05 02:21,1.30361,1.3035,1.30367,1.3035,413
2019.02.05 02:22,1.30365,1.30361,1.30365,1.30361,291
2019.02.05 02:23,1.30374,1.30365,1.30376,1.30363,216
2019.02.05 02:24,1.30392,1.30374,1.30397,1.30374,404
2019.02.05 02:25,1.30413,1.30392,1.30413,1.30392,566
2019.02.05 02:26,1.30414,1.30413,1.30427,1.30413,484
2019.02.05 02:27,1.30413,1.30414,1.30417,1.30413,138
2019.02.05 02:28,1.30414,1.30413,1.30414,1.30413,165
2019.02.05 02:29,1.30413,1.30414,1.30414,1.30412,107
2019.02.05 02:30,1.30383,1.30413,1.30413,1.30381,468
2019.02.05 02:31,1.30371,1.30384,1.30384,1.3037,344
2019.02.05 02:32,1.30372,1.30372,1.30374,1.30369,371
2019.02.05 02:33,1.30383,1.30372,1.30384,1.30372,425
2019.02.05 02:34,1.30383,1.30383,1.30384,1.30381,303
2019.02.05 02:35,1.30381,1.30383,1.30386,1.30381,505
2019.02.05 02:36,1.30383,1.30382,1.30383,1.30379,527
2019.02.05 02:37,1.30382,1.30383,1.30384,1.30382,462
2019.02.05 02:38,1.30383,1.30382,1.30385,1.30381,582
2019.02.05 02:39,1.30383,1.30383,1.30385,1.30383,416
2019.02.05 02:40,1.30382,1.30383,1.30384,1.30381,510
2019.02.05 02:41,1.30373,1.30382,1.30385,1.30371,578
2019.02.05 02:42,1.30363,1.30373,1.30373,1.30361,444
2019.02.05 02:43,1.30363,1.30363,1.30363,1.3036,253
2019.02.05 02:44,1.30363,1.30362,1.30365,1.3036,407
2019.02.05 02:45,1.30363,1.30364,1.30364,1.30362,237
2019.02.05 02:46,1.30364,1.30363,1.30365,1.30363,309
2019.02.05 02:47,1.30363,1.30364,1.30364,1.30362,337
2019.02.05 02:48,1.30362,1.30363,1.30364,1.30361,316
2019.02.05 02:49,1.3036,1.30361,1.30362,1.30359,158
2019.02.05 02:50,1.30365,1.3036,1.30365,1.30359,400
2019.02.05 02:51,1.30369,1.30365,1.30374,1.30363,461
2019.02.05 02:52,1.30377,1.30369,1.30379,1.30369,366
2019.02.05 02:53,1.30377,1.30377,1.30378,1.30375,288
2019.02.05 02:54,1.30392,1.30376,1.30392,1.30373,433
2019.02.05 02:55,1.30363,1.30392,1.30412,1.30362,527
2019.02.05 02:56,1.30343,1.30362,1.30363,1.3034,471
2019.02.05 02:57,1.30352,1.30343,1.30352,1.30342,488
2019.02.05 02:58,1.3035,1.30351,1.30353,1.30349,864
2019.02.05 02:59,1.30351,1.3035,1.30352,1.30349,639
2019.02.05 03:00,1.30363,1.30351,1.30364,1.3035,576
2019.02.05 03:01,1.30363,1.30364,1.30365,1.30362,368
2019.02.05 03:02,1.30351,1.30363,1.30363,1.3035,431
2019.02.05 03:03,1.3035,1.30351,1.30352,1.3035,384
2019.02.05 03:04,1.3035,1.3035,1.30351,1.3035,280
2019.02.05 03:05,1.30351,1.3035,1.30351,1.30343,495
2019.02.05 03:06,1.30351,1.30351,1.30352,1.3035,221
2019.02.05 03:07,1.30351,1.30351,1.30353,1.3035,186
2019.02.05 03:08,1.30351,1.30351,1.30352,1.30351,167
2019.02.05 03:09,1.30352,1.30351,1.30352,1.30351,95
2019.02.05 03:10,1.30351,1.30352,1.30354,1.30351,214
2019.02.05 03:11,1.30353,1.30351,1.30355,1.30351,225
2019.02.05 03:12,1.30352,1.30353,1.30353,1.3035,290
2019.02.05 03:13,1.30353,1.30352,1.30353,1.30351,127
2019.02.05 03:14,1.30352,1.30353,1.30353,1.30352,79
2019.02.05 03:15,1.30351,1.30352,1.30353,1.30351,194
2019.02.05 03:16,1.30352,1.30352,1.30353,1.30351,194
2019.02.05 03:17,1.30351,1.30352,1.30352,1.3035,227
2019.02.05 03:18,1.30351,1.3035,1.30351,1.3035,122
2019.02.05 03:19,1.30352,1.30351,1.30352,1.3035,148
2019.02.05 03:20,1.30351,1.30352,1.30353,1.30351,181
2019.02.05 03:21,1.30352,1.30351,1.30355,1.3035,205
2019.02.05 03:22,1.30352,1.30352,1.30353,1.30352,93
2019.02.05 03:23,1.30352,1.30352,1.30353,1.30352,152
2019.02.05 03:24,1.30352,1.30352,1.30352,1.30352,118
2019.02.05 03:25,1.30351,1.30352,1.30352,1.30351,66
2019.02.05 03:26,1.30352,1.30351,1.30353,1.30351,158
2019.02.05 03:27,1.30362,1.30352,1.30364,1.30352,265
2019.02.05 03:28,1.30363,1.30362,1.30363,1.30362,75
2019.02.05 03:29,1.30362,1.30363,1.30364,1.30362,117
2019.02.05 03:30,1.30363,1.30362,1.30363,1.30352,394
2019.02.05 03:31,1.30362,1.30363,1.30363,1.30362,99
2019.02.05 03:32,1.30366,1.30362,1.30366,1.30362,206
2019.02.05 03:33,1.30363,1.30366,1.30366,1.30362,170
2019.02.05 03:34,1.30363,1.30363,1.30364,1.30362,97
2019.02.05 03:35,1.30363,1.30363,1.30363,1.30362,89
2019.02.05 03:36,1.30362,1.30363,1.30363,1.30362,154
2019.02.05 03:37,1.30363,1.30362,1.30363,1.30362,105
2019.02.05 03:38,1.30364,1.30363,1.30364,1.30363,209
2019.02.05 03:39,1.30364,1.30364,1.30366,1.30363,197
2019.02.05 03:40,1.30364,1.30364,1.30364,1.30363,118
2019.02.05 03:41,1.30363,1.30364,1.30364,1.30363,39
2019.02.05 03:42,1.30362,1.30363,1.30363,1.30361,140
2019.02.05 03:43,1.30363,1.30362,1.30365,1.30362,228
2019.02.05 03:44,1.30362,1.30363,1.30363,1.30362,89
2019.02.05 03:45,1.30363,1.30362,1.30365,1.30362,133
2019.02.05 03:46,1.30365,1.30363,1.30365,1.30361,210
2019.02.05 03:47,1.30373,1.30365,1.30374,1.30363,173
2019.02.05 03:48,1.30372,1.30373,1.30374,1.30372,141
2019.02.05 03:49,1.30362,1.30372,1.30372,1.30362,121
2019.02.05 03:50,1.30363,1.30362,1.30363,1.30362,139
2019.02.05 03:51,1.30363,1.30363,1.30364,1.30362,176
2019.02.05 03:52,1.30372,1.30363,1.30373,1.30353,528
2019.02.05 03:53,1.30373,1.30372,1.30374,1.30371,360
2019.02.05 03:54,1.30373,1.30373,1.30375,1.30371,419
2019.02.05 03:55,1.30373,1.30373,1.30374,1.30372,285
2019.02.05 03:56,1.30366,1.30373,1.30373,1.30364,498
2019.02.05 03:57,1.30372,1.30366,1.30375,1.30364,652
2019.02.05 03:58,1.30365,1.30373,1.30373,1.30364,212
2019.02.05 03:59,1.30365,1.30365,1.30366,1.30364,186
2019.02.05 04:00,1.30353,1.30365,1.30365,1.30352,397
2019.02.05 04:01,1.30353,1.30353,1.30353,1.30351,345
2019.02.05 04:02,1.30362,1.30353,1.30364,1.30353,583
2019.02.05 04:03,1.30373,1.30362,1.30384,1.30361,451
2019.02.05 04:04,1.30372,1.30372,1.30374,1.30371,281
2019.02.05 04:05,1.30392,1.30372,1.30393,1.30372,237
2019.02.05 04:06,1.30392,1.30392,1.30393,1.3039,188
2019.02.05 04:07,1.30394,1.30392,1.30394,1.30391,125
2019.02.05 04:08,1.30393,1.30394,1.30394,1.30392,191
2019.02.05 04:09,1.30393,1.30393,1.30394,1.30392,213
2019.02.05 04:10,1.30392,1.30392,1.30392,1.30392,101
2019.02.05 04:11,1.30391,1.30392,1.30392,1.30391,249
2019.02.05 04:12,1.30392,1.30391,1.30393,1.30391,294
2019.02.05 04:13,1.30403,1.30392,1.30403,1.30392,422
2019.02.05 04:14,1.30402,1.30403,1.30404,1.30402,268
2019.02.05 04:15,1.30402,1.30402,1.30404,1.30402,232
2019.02.05 04:16,1.30403,1.30403,1.30404,1.30402,182
2019.02.05 04:17,1.30403,1.30403,1.30405,1.30402,141
2019.02.05 04:18,1.30393,1.30403,1.30403,1.30392,151
2019.02.05 04:19,1.30393,1.30393,1.30394,1.30391,148
2019.02.05 04:20,1.30392,1.30393,1.30393,1.30391,112
2019.02.05 04:21,1.30384,1.30392,1.30392,1.30382,185
2019.02.05 04:22,1.30393,1.30384,1.30395,1.30384,247
2019.02.05 04:23,1.30395,1.30393,1.30395,1.30392,174
2019.02.05 04:24,1.30393,1.30395,1.30395,1.30391,180
2019.02.05 04:25,1.30406,1.30393,1.30414,1.30393,239
2019.02.05 04:26,1.30396,1.30406,1.30407,1.30394,254
2019.02.05 04:27,1.30398,1.30396,1.30398,1.30395,139
